platform_label,category,subject,adapter_or_policy,observations,shape_contract_rate,dtype_contract_rate,exact_pixel_rate,mean_absolute_error_mean,maximum_absolute_error_max,unique_candidate_hashes
linux-x64-reference,icc_policy,rgb_untagged,pillow_unmanaged,1,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,icc_policy,rgb_untagged,icc_to_srgb_relative,1,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,icc_policy,rgb_icc_gamma_1_0,pillow_unmanaged,1,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,icc_policy,rgb_icc_gamma_1_0,icc_to_srgb_relative,1,1.000000,1.000000,0.000000,47.907629986,73,1
linux-x64-reference,icc_policy,rgb_icc_gamma_2_2,pillow_unmanaged,1,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,icc_policy,rgb_icc_gamma_2_2,icc_to_srgb_relative,1,1.000000,1.000000,0.000000,2.139912749,9,1
linux-x64-reference,orientation_policy,orientations_1_to_8,opencv_ignore_orientation,8,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,orientation_policy,orientations_1_to_8,opencv_apply_orientation,8,1.000000,1.000000,1.000000,0.000000000,0,8
linux-x64-reference,orientation_policy,orientations_1_to_8,pillow_ignore_orientation,8,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,orientation_policy,orientations_1_to_8,pillow_exif_transpose,8,1.000000,1.000000,1.000000,0.000000000,0,8
linux-x64-reference,raw_metadata_invariance,icc_profile,opencv,3,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,raw_metadata_invariance,icc_profile,pillow,3,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,raw_metadata_invariance,icc_profile,ffmpeg,3,1.000000,1.000000,0.000000,0.029959046,2,1
linux-x64-reference,raw_metadata_invariance,exif_orientation,opencv,8,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,raw_metadata_invariance,exif_orientation,pillow,8,1.000000,1.000000,1.000000,0.000000000,0,1
linux-x64-reference,raw_metadata_invariance,exif_orientation,ffmpeg,8,1.000000,1.000000,0.000000,0.029959046,2,1
linux-x64-reference,four_component_rendering,cmyk_adobe0,opencv,1,1.000000,1.000000,0.000000,2.164975071,26,1
linux-x64-reference,four_component_rendering,cmyk_adobe0,pillow,1,1.000000,1.000000,0.000000,1.827323718,26,1
linux-x64-reference,four_component_rendering,cmyk_adobe0,ffmpeg,1,1.000000,1.000000,0.000000,1.967770655,24,1
linux-x64-reference,four_component_rendering,ycck_adobe2,opencv,1,1.000000,1.000000,0.000000,4.141070157,55,1
linux-x64-reference,four_component_rendering,ycck_adobe2,pillow,1,1.000000,1.000000,0.000000,3.954148860,54,1
linux-x64-reference,four_component_rendering,ycck_adobe2,ffmpeg,1,1.000000,1.000000,0.000000,53.070735399,238,1
