pattern,blur_sigma,noise_std,seed,laplacian_variance
checkerboard,0,0,20260721,17026.199341
checkerboard,0,5,20260722,16669.803177
checkerboard,0,15,20260723,16991.695385
checkerboard,1,0,20260731,962.091064
checkerboard,1,5,20260732,1298.908399
checkerboard,1,15,20260733,3603.492919
checkerboard,2,0,20260741,135.580444
checkerboard,2,5,20260742,561.766380
checkerboard,2,15,20260743,3656.436899
checkerboard,3,0,20260751,42.553467
checkerboard,3,5,20260752,526.852636
checkerboard,3,15,20260753,4113.455855
vertical_bars,0,0,20260821,15748.242188
vertical_bars,0,5,20260822,15440.482520
vertical_bars,0,15,20260823,15849.726829
vertical_bars,1,0,20260831,967.539062
vertical_bars,1,5,20260832,1339.453062
vertical_bars,1,15,20260833,3782.246673
vertical_bars,2,0,20260841,171.523438
vertical_bars,2,5,20260842,668.573776
vertical_bars,2,15,20260843,4210.053086
vertical_bars,3,0,20260851,76.257812
vertical_bars,3,5,20260852,573.532269
vertical_bars,3,15,20260853,4556.316330
geometric_shapes,0,0,20260921,2590.331787
geometric_shapes,0,5,20260922,3083.479324
geometric_shapes,0,15,20260923,6839.890316
geometric_shapes,1,0,20260931,92.356384
geometric_shapes,1,5,20260932,590.766562
geometric_shapes,1,15,20260933,4341.611883
geometric_shapes,2,0,20260941,14.484467
geometric_shapes,2,5,20260942,514.219253
geometric_shapes,2,15,20260943,4339.627158
geometric_shapes,3,0,20260951,4.860962
geometric_shapes,3,5,20260952,505.410123
geometric_shapes,3,15,20260953,4393.682739
