pattern,scale,down_interpolation,up_interpolation,laplacian_variance,tenengrad_energy
checkerboard,1.00,INTER_AREA,INTER_LINEAR,17026.199341,222412.170410
checkerboard,0.75,INTER_AREA,INTER_LINEAR,6474.197388,169571.564941
checkerboard,0.50,INTER_AREA,INTER_LINEAR,1972.879028,132634.123535
checkerboard,0.25,INTER_AREA,INTER_LINEAR,486.735992,80514.483032
vertical_bars,1.00,INTER_AREA,INTER_LINEAR,15748.242188,251971.875000
vertical_bars,0.75,INTER_AREA,INTER_LINEAR,6370.742188,196667.875000
vertical_bars,0.50,INTER_AREA,INTER_LINEAR,1953.242188,157235.875000
vertical_bars,0.25,INTER_AREA,INTER_LINEAR,492.735198,102242.109619
geometric_shapes,1.00,INTER_AREA,INTER_LINEAR,2590.331787,22197.911621
geometric_shapes,0.75,INTER_AREA,INTER_LINEAR,307.742249,14571.108093
geometric_shapes,0.50,INTER_AREA,INTER_LINEAR,114.887848,11582.997742
geometric_shapes,0.25,INTER_AREA,INTER_LINEAR,27.131256,6566.876526
